,True Label,RF Time,Time
0,4.0,0.0,1613482563.9032285
1,4.0,0.0,1613482563.9242296
2,4.0,0.0,1613482563.9447575
3,4.0,0.0,1613482563.962926
4,4.0,0.0,1613482563.9841335
5,4.0,0.0,1613482564.0142934
6,4.0,0.0,1613482564.0410352
7,4.0,0.0,1613482564.0709727
8,4.0,0.0,1613482564.1022246
9,4.0,0.0,1613482564.1337945
10,4.0,0.0,1613482564.1604598
11,4.0,0.0,1613482564.1812694
12,4.0,0.0,1613482564.204978
13,4.0,0.0,1613482564.2290916
14,4.0,0.0,1613482564.2537436
15,4.0,0.0,1613482564.2805958
16,4.0,0.0,1613482564.306582
17,4.0,0.0,1613482564.3307893
18,4.0,0.0,1613482564.353674
19,4.0,0.0,1613482564.3784919
20,4.0,0.0,1613482564.3967202
21,4.0,0.0,1613482564.4165473
22,4.0,0.0,1613482564.4436674
23,4.0,0.0,1613482564.4690413
24,4.0,0.0,1613482564.4947383
25,4.0,0.0,1613482564.5219114
26,4.0,0.0,1613482564.5482268
27,4.0,0.0,1613482564.5736287
28,4.0,0.0,1613482564.5960715
29,4.0,0.0,1613482564.6148636
30,4.0,0.0,1613482564.6375768
31,4.0,0.0,1613482564.6606112
32,4.0,0.0,1613482564.6840565
33,4.0,0.0,1613482564.7082074
34,4.0,0.0,1613482564.7319634
35,4.0,0.0,1613482564.7583199
36,4.0,0.0,1613482564.7849562
37,4.0,0.0,1613482564.8077059
38,4.0,0.0,1613482564.8256426
39,4.0,0.0,1613482564.8444805
40,4.0,0.0,1613482564.867361
41,4.0,0.0,1613482564.8922584
42,4.0,0.0,1613482564.9184296
43,4.0,0.0,1613482564.9416971
44,4.0,0.0,1613482564.967012
45,4.0,0.0,1613482564.9910648
46,4.0,0.0,1613482565.015444
47,4.0,0.0,1613482565.0349665
48,4.0,0.0,1613482565.0536594
49,4.0,0.0,1613482565.0801198
50,4.0,0.0,1613482565.1040719
51,4.0,0.0,1613482565.1287107
52,4.0,0.0,1613482565.1536067
53,4.0,0.0,1613482565.1782992
54,4.0,0.0,1613482565.2041109
55,4.0,0.0,1613482565.227215
56,4.0,0.0,1613482565.2447634
57,4.0,0.0,1613482565.2666059
58,4.0,0.0,1613482565.2914135
59,4.0,0.0,1613482565.3171442
60,4.0,0.0,1613482565.3424265
61,4.0,0.0,1613482565.3679416
62,4.0,0.0,1613482565.393081
63,4.0,0.0,1613482565.4177191
64,4.0,0.0,1613482565.4399726
65,4.0,0.0,1613482565.4573295
66,4.0,0.0,1613482565.4773488
