,RF Time,RF Frequency,RF PSD
0,Grass,Concrete,Gravel
1,Grass,Concrete,Gravel
2,Grass,Concrete,Gravel
3,Grass,Concrete,Gravel
4,Grass,Concrete,Gravel
5,Grass,Concrete,Gravel
6,Grass,Concrete,Gravel
7,Grass,Concrete,Gravel
8,Grass,Concrete,Gravel
9,Grass,Concrete,Gravel
10,Grass,Concrete,Gravel
11,Grass,Concrete,Gravel
12,Grass,Concrete,Gravel
13,Linoleum,Concrete,Grass
14,Linoleum,Linoleum,Asphalt
15,Grass,Linoleum,Grass
16,Grass,Asphalt,Asphalt
17,Asphalt,Sidewalk,Asphalt
18,Asphalt,Sidewalk,Grass
19,Asphalt,Sidewalk,Asphalt
20,Asphalt,Sidewalk,Sidewalk
21,Asphalt,Sidewalk,Asphalt
22,Asphalt,Sidewalk,Grass
23,Asphalt,Sidewalk,Asphalt
24,Asphalt,Sidewalk,Asphalt
25,Concrete,Sidewalk,Asphalt
26,Concrete,Sidewalk,Asphalt
27,Concrete,Sidewalk,Asphalt
28,Concrete,Sidewalk,Asphalt
29,Asphalt,Sidewalk,Asphalt
30,Asphalt,Sidewalk,Asphalt
31,Asphalt,Sidewalk,Asphalt
32,Asphalt,Sidewalk,Asphalt
33,Asphalt,Sidewalk,Asphalt
34,Asphalt,Asphalt,Asphalt
35,Asphalt,Asphalt,Asphalt
36,Asphalt,Asphalt,Asphalt
37,Concrete,Concrete,Asphalt
38,Concrete,Concrete,Asphalt
39,Concrete,Concrete,Asphalt
40,Concrete,Concrete,Sidewalk
41,Concrete,Grass,Asphalt
42,Asphalt,Asphalt,Grass
43,Asphalt,Asphalt,Grass
44,Asphalt,Linoleum,Asphalt
45,Asphalt,Asphalt,Asphalt
46,Asphalt,Asphalt,Asphalt
47,Asphalt,Asphalt,Grass
48,Asphalt,Asphalt,Grass
49,Asphalt,Asphalt,Grass
50,Concrete,Asphalt,Asphalt
51,Concrete,Sidewalk,Asphalt
52,Concrete,Sidewalk,Asphalt
53,Concrete,Grass,Asphalt
54,Concrete,Grass,Asphalt
55,Concrete,Grass,Asphalt
56,Concrete,Concrete,Grass
57,Concrete,Linoleum,Asphalt
58,Concrete,Asphalt,Grass
59,Concrete,Concrete,Asphalt
60,Grass,Grass,Linoleum
61,Grass,Linoleum,Linoleum
62,Grass,Grass,Linoleum
63,Concrete,Gravel,Concrete
64,Linoleum,Gravel,Carpet
65,Linoleum,Gravel,Sidewalk
66,Linoleum,Gravel,Asphalt
67,Linoleum,Gravel,Asphalt
68,Linoleum,Gravel,Gravel
69,Linoleum,Gravel,Sidewalk
70,Linoleum,Gravel,Sidewalk
71,Linoleum,Gravel,Sidewalk
72,Linoleum,Gravel,Sidewalk
73,Linoleum,Gravel,Sidewalk
74,Linoleum,Gravel,Sidewalk
75,Linoleum,Gravel,Sidewalk
76,Linoleum,Gravel,Sidewalk
77,Linoleum,Gravel,Sidewalk
78,Linoleum,Gravel,Sidewalk
79,Linoleum,Gravel,Sidewalk
80,Linoleum,Gravel,Sidewalk
81,Linoleum,Gravel,Asphalt
82,Linoleum,Gravel,Asphalt
83,Linoleum,Gravel,Sidewalk
84,Linoleum,Gravel,Asphalt
85,Concrete,Gravel,Asphalt
86,Linoleum,Gravel,Sidewalk
87,Linoleum,Gravel,Sidewalk
88,Linoleum,Gravel,Sidewalk
89,Linoleum,Gravel,Sidewalk
90,Linoleum,Gravel,Sidewalk
91,Linoleum,Gravel,Sidewalk
92,Linoleum,Gravel,Asphalt
93,Linoleum,Gravel,Sidewalk
94,Linoleum,Gravel,Sidewalk
95,Linoleum,Gravel,Asphalt
96,Linoleum,Gravel,Sidewalk
97,Linoleum,Gravel,Asphalt
98,Linoleum,Gravel,Sidewalk
99,Gravel,Gravel,Sidewalk
100,Linoleum,Gravel,Sidewalk
101,Linoleum,Gravel,Sidewalk
102,Linoleum,Gravel,Sidewalk
103,Linoleum,Gravel,Gravel
104,Linoleum,Gravel,Sidewalk
105,Concrete,Gravel,Sidewalk
106,Linoleum,Gravel,Sidewalk
107,Concrete,Gravel,Sidewalk
108,Concrete,Gravel,Sidewalk
109,Linoleum,Gravel,Gravel
110,Sidewalk,Gravel,Sidewalk
111,Carpet,Gravel,Sidewalk
112,Linoleum,Gravel,Sidewalk
113,Linoleum,Gravel,Sidewalk
114,Concrete,Gravel,Gravel
115,Concrete,Gravel,Sidewalk
116,Linoleum,Gravel,Sidewalk
117,Linoleum,Gravel,Sidewalk
118,Linoleum,Gravel,Sidewalk
119,Concrete,Gravel,Sidewalk
120,Linoleum,Gravel,Sidewalk
121,Linoleum,Gravel,Asphalt
122,Linoleum,Gravel,Sidewalk
123,Linoleum,Gravel,Sidewalk
124,Sidewalk,Gravel,Sidewalk
125,Concrete,Gravel,Sidewalk
126,Concrete,Gravel,Sidewalk
127,Linoleum,Gravel,Sidewalk
128,Linoleum,Gravel,Sidewalk
129,Linoleum,Gravel,Sidewalk
130,Linoleum,Gravel,Sidewalk
131,Linoleum,Gravel,Sidewalk
132,Concrete,Gravel,Gravel
133,Linoleum,Gravel,Sidewalk
134,Linoleum,Gravel,Asphalt
135,Linoleum,Gravel,Asphalt
136,Linoleum,Gravel,Sidewalk
137,Sidewalk,Gravel,Gravel
138,Concrete,Gravel,Sidewalk
139,Concrete,Gravel,Sidewalk
140,Concrete,Gravel,Sidewalk
141,Concrete,Gravel,Sidewalk
142,Linoleum,Gravel,Sidewalk
143,Linoleum,Gravel,Carpet
144,Linoleum,Gravel,Carpet
145,Linoleum,Gravel,Concrete
146,Linoleum,Gravel,Sidewalk
147,Concrete,Gravel,Sidewalk
148,Concrete,Gravel,Gravel
149,Linoleum,Gravel,Gravel
150,Concrete,Gravel,Sidewalk
151,Sidewalk,Gravel,Gravel
152,Carpet,Gravel,Sidewalk
153,Linoleum,Gravel,Sidewalk
154,Concrete,Gravel,Sidewalk
155,Concrete,Gravel,Sidewalk
156,Concrete,Gravel,Sidewalk
157,Sidewalk,Gravel,Sidewalk
158,Linoleum,Gravel,Sidewalk
159,Linoleum,Gravel,Sidewalk
160,Gravel,Gravel,Sidewalk
161,Sidewalk,Gravel,Sidewalk
162,Linoleum,Gravel,Sidewalk
163,Carpet,Gravel,Sidewalk
164,Sidewalk,Gravel,Sidewalk
165,Linoleum,Gravel,Sidewalk
166,Linoleum,Gravel,Concrete
167,Linoleum,Gravel,Sidewalk
168,Linoleum,Gravel,Gravel
169,Linoleum,Gravel,Sidewalk
170,Linoleum,Gravel,Sidewalk
171,Linoleum,Gravel,Sidewalk
172,Linoleum,Gravel,Sidewalk
173,Concrete,Gravel,Sidewalk
174,Gravel,Gravel,Sidewalk
175,Concrete,Gravel,Sidewalk
176,Gravel,Gravel,Sidewalk
177,Linoleum,Gravel,Sidewalk
178,Linoleum,Gravel,Sidewalk
179,Linoleum,Gravel,Asphalt
180,Linoleum,Gravel,Sidewalk
181,Linoleum,Gravel,Sidewalk
182,Linoleum,Gravel,Sidewalk
183,Concrete,Gravel,Sidewalk
184,Concrete,Gravel,Sidewalk
185,Concrete,Gravel,Sidewalk
186,Concrete,Gravel,Asphalt
187,Sidewalk,Gravel,Asphalt
188,Carpet,Gravel,Sidewalk
189,Sidewalk,Gravel,Sidewalk
190,Concrete,Gravel,Sidewalk
191,Concrete,Gravel,Sidewalk
192,Concrete,Gravel,Asphalt
193,Concrete,Gravel,Sidewalk
194,Sidewalk,Gravel,Sidewalk
195,Sidewalk,Gravel,Sidewalk
196,Sidewalk,Gravel,Asphalt
197,Sidewalk,Gravel,Gravel
198,Concrete,Gravel,Sidewalk
199,Concrete,Gravel,Sidewalk
200,Concrete,Gravel,Sidewalk
201,Concrete,Gravel,Sidewalk
202,Sidewalk,Gravel,Sidewalk
203,Sidewalk,Gravel,Sidewalk
204,Linoleum,Gravel,Sidewalk
205,Linoleum,Gravel,Sidewalk
206,Linoleum,Gravel,Sidewalk
207,Concrete,Gravel,Sidewalk
208,Concrete,Gravel,Sidewalk
209,Concrete,Gravel,Sidewalk
210,Linoleum,Gravel,Sidewalk
211,Linoleum,Gravel,Sidewalk
212,Concrete,Gravel,Sidewalk
213,Linoleum,Gravel,Sidewalk
214,Linoleum,Gravel,Sidewalk
215,Linoleum,Gravel,Sidewalk
216,Concrete,Gravel,Sidewalk
217,Linoleum,Gravel,Sidewalk
218,Concrete,Gravel,Sidewalk
219,Linoleum,Gravel,Asphalt
220,Concrete,Gravel,Sidewalk
221,Linoleum,Gravel,Sidewalk
222,Linoleum,Gravel,Sidewalk
223,Sidewalk,Gravel,Sidewalk
224,Linoleum,Gravel,Sidewalk
225,Linoleum,Gravel,Gravel
226,Concrete,Gravel,Sidewalk
227,Linoleum,Gravel,Sidewalk
228,Concrete,Gravel,Sidewalk
229,Asphalt,Gravel,Sidewalk
230,Concrete,Gravel,Sidewalk
231,Concrete,Gravel,Asphalt
232,Linoleum,Gravel,Sidewalk
233,Linoleum,Gravel,Asphalt
234,Linoleum,Gravel,Sidewalk
235,Linoleum,Gravel,Sidewalk
236,Linoleum,Gravel,Sidewalk
237,Linoleum,Gravel,Sidewalk
238,Concrete,Gravel,Sidewalk
239,Concrete,Gravel,Gravel
240,Linoleum,Gravel,Sidewalk
241,Linoleum,Gravel,Sidewalk
242,Linoleum,Gravel,Sidewalk
243,Linoleum,Gravel,Sidewalk
244,Linoleum,Gravel,Sidewalk
245,Linoleum,Gravel,Sidewalk
246,Sidewalk,Gravel,Sidewalk
247,Concrete,Gravel,Gravel
248,Concrete,Gravel,Gravel
249,Concrete,Gravel,Sidewalk
250,Concrete,Gravel,Gravel
251,Linoleum,Gravel,Sidewalk
252,Carpet,Gravel,Sidewalk
253,Carpet,Gravel,Sidewalk
254,Carpet,Gravel,Sidewalk
255,Sidewalk,Gravel,Sidewalk
256,Sidewalk,Gravel,Sidewalk
257,Sidewalk,Gravel,Sidewalk
258,Linoleum,Gravel,Sidewalk
259,Linoleum,Gravel,Sidewalk
260,Linoleum,Gravel,Sidewalk
261,Carpet,Gravel,Concrete
262,Linoleum,Gravel,Sidewalk
263,Linoleum,Gravel,Sidewalk
264,Linoleum,Gravel,Sidewalk
265,Linoleum,Gravel,Asphalt
266,Linoleum,Gravel,Sidewalk
267,Concrete,Gravel,Gravel
268,Concrete,Gravel,Sidewalk
269,Concrete,Gravel,Sidewalk
270,Linoleum,Gravel,Gravel
271,Concrete,Gravel,Sidewalk
272,Concrete,Gravel,Sidewalk
273,Linoleum,Gravel,Sidewalk
274,Linoleum,Gravel,Sidewalk
275,Linoleum,Gravel,Sidewalk
276,Linoleum,Gravel,Sidewalk
277,Linoleum,Gravel,Sidewalk
278,Concrete,Gravel,Sidewalk
279,Concrete,Gravel,Sidewalk
280,Concrete,Gravel,Concrete
281,Concrete,Gravel,Sidewalk
282,Sidewalk,Gravel,Sidewalk
283,Linoleum,Gravel,Sidewalk
284,Linoleum,Gravel,Sidewalk
285,Linoleum,Gravel,Sidewalk
286,Linoleum,Gravel,Sidewalk
287,Concrete,Gravel,Linoleum
288,Sidewalk,Gravel,Sidewalk
289,Sidewalk,Gravel,Sidewalk
290,Sidewalk,Gravel,Sidewalk
291,Sidewalk,Gravel,Sidewalk
292,Carpet,Gravel,Sidewalk
293,Concrete,Gravel,Asphalt
294,Concrete,Gravel,Concrete
295,Linoleum,Gravel,Concrete
296,Sidewalk,Gravel,Sidewalk
297,Linoleum,Gravel,Sidewalk
298,Linoleum,Gravel,Sidewalk
299,Linoleum,Gravel,Asphalt
300,Asphalt,Gravel,Sidewalk
301,Carpet,Gravel,Gravel
302,Sidewalk,Gravel,Asphalt
303,Linoleum,Gravel,Asphalt
304,Linoleum,Gravel,Asphalt
305,Sidewalk,Gravel,Sidewalk
306,Gravel,Gravel,Sidewalk
307,Linoleum,Gravel,Sidewalk
308,Linoleum,Gravel,Sidewalk
309,Linoleum,Gravel,Sidewalk
310,Linoleum,Gravel,Sidewalk
311,Linoleum,Gravel,Sidewalk
312,Linoleum,Gravel,Sidewalk
313,Linoleum,Gravel,Sidewalk
314,Linoleum,Gravel,Sidewalk
315,Linoleum,Gravel,Sidewalk
316,Concrete,Gravel,Sidewalk
317,Linoleum,Gravel,Sidewalk
318,Concrete,Gravel,Concrete
319,Carpet,Gravel,Sidewalk
320,Linoleum,Gravel,Sidewalk
321,Concrete,Gravel,Sidewalk
322,Linoleum,Gravel,Sidewalk
323,Linoleum,Gravel,Sidewalk
324,Linoleum,Gravel,Sidewalk
325,Linoleum,Gravel,Asphalt
326,Linoleum,Gravel,Sidewalk
327,Linoleum,Gravel,Sidewalk
328,Concrete,Gravel,Sidewalk
329,Concrete,Gravel,Sidewalk
330,Concrete,Gravel,Carpet
331,Linoleum,Gravel,Sidewalk
332,Linoleum,Gravel,Sidewalk
333,Carpet,Gravel,Sidewalk
334,Carpet,Gravel,Sidewalk
335,Sidewalk,Gravel,Sidewalk
336,Sidewalk,Gravel,Sidewalk
337,Concrete,Gravel,Sidewalk
338,Concrete,Gravel,Asphalt
339,Concrete,Gravel,Sidewalk
340,Sidewalk,Gravel,Sidewalk
341,Concrete,Gravel,Asphalt
342,Concrete,Gravel,Sidewalk
343,Linoleum,Gravel,Sidewalk
344,Concrete,Gravel,Sidewalk
345,Concrete,Gravel,Sidewalk
346,Concrete,Gravel,Sidewalk
347,Linoleum,Gravel,Sidewalk
348,Linoleum,Gravel,Sidewalk
349,Sidewalk,Gravel,Sidewalk
350,Carpet,Gravel,Gravel
351,Carpet,Gravel,Sidewalk
352,Concrete,Gravel,Sidewalk
353,Linoleum,Gravel,Sidewalk
354,Linoleum,Gravel,Sidewalk
355,Sidewalk,Gravel,Sidewalk
356,Linoleum,Gravel,Sidewalk
357,Linoleum,Gravel,Sidewalk
358,Linoleum,Gravel,Sidewalk
359,Linoleum,Gravel,Sidewalk
360,Carpet,Gravel,Gravel
361,Linoleum,Gravel,Gravel
362,Linoleum,Gravel,Sidewalk
363,Linoleum,Gravel,Sidewalk
364,Linoleum,Gravel,Asphalt
365,Linoleum,Gravel,Sidewalk
366,Linoleum,Gravel,Sidewalk
367,Concrete,Gravel,Sidewalk
368,Linoleum,Gravel,Concrete
369,Gravel,Gravel,Sidewalk
370,Gravel,Gravel,Sidewalk
371,Gravel,Gravel,Gravel
372,Concrete,Gravel,Sidewalk
373,Gravel,Gravel,Asphalt
374,Linoleum,Gravel,Sidewalk
375,Linoleum,Gravel,Sidewalk
376,Linoleum,Gravel,Sidewalk
377,Linoleum,Gravel,Sidewalk
378,Linoleum,Gravel,Sidewalk
379,Concrete,Gravel,Asphalt
380,Linoleum,Gravel,Asphalt
381,Linoleum,Gravel,Linoleum
382,Linoleum,Gravel,Concrete
383,Concrete,Gravel,Asphalt
384,Concrete,Gravel,Sidewalk
385,Concrete,Gravel,Asphalt
386,Linoleum,Gravel,Sidewalk
387,Concrete,Gravel,Sidewalk
388,Linoleum,Gravel,Sidewalk
389,Sidewalk,Gravel,Sidewalk
390,Sidewalk,Gravel,Sidewalk
391,Concrete,Gravel,Sidewalk
392,Sidewalk,Gravel,Sidewalk
393,Sidewalk,Gravel,Gravel
394,Sidewalk,Gravel,Gravel
395,Linoleum,Gravel,Gravel
396,Linoleum,Gravel,Sidewalk
397,Sidewalk,Gravel,Sidewalk
398,Linoleum,Gravel,Concrete
399,Sidewalk,Gravel,Sidewalk
400,Concrete,Gravel,Sidewalk
401,Carpet,Gravel,Gravel
402,Asphalt,Gravel,Sidewalk
403,Concrete,Gravel,Sidewalk
404,Concrete,Gravel,Gravel
405,Concrete,Gravel,Sidewalk
406,Concrete,Gravel,Sidewalk
407,Linoleum,Gravel,Sidewalk
408,Concrete,Gravel,Asphalt
409,Linoleum,Gravel,Sidewalk
410,Linoleum,Gravel,Sidewalk
411,Concrete,Gravel,Sidewalk
412,Concrete,Gravel,Sidewalk
413,Gravel,Gravel,Carpet
414,Concrete,Gravel,Sidewalk
415,Concrete,Gravel,Asphalt
416,Concrete,Gravel,Sidewalk
417,Concrete,Gravel,Sidewalk
418,Concrete,Gravel,Sidewalk
419,Linoleum,Gravel,Gravel
420,Linoleum,Gravel,Asphalt
421,Linoleum,Gravel,Asphalt
422,Linoleum,Gravel,Sidewalk
423,Linoleum,Gravel,Asphalt
424,Linoleum,Gravel,Sidewalk
425,Concrete,Gravel,Sidewalk
426,Concrete,Gravel,Sidewalk
427,Linoleum,Gravel,Asphalt
428,Linoleum,Gravel,Sidewalk
429,Concrete,Gravel,Concrete
430,Linoleum,Gravel,Sidewalk
431,Sidewalk,Gravel,Sidewalk
432,Concrete,Gravel,Sidewalk
433,Linoleum,Gravel,Sidewalk
434,Linoleum,Gravel,Sidewalk
435,Linoleum,Gravel,Asphalt
436,Sidewalk,Gravel,Concrete
437,Linoleum,Gravel,Asphalt
438,Sidewalk,Gravel,Asphalt
439,Concrete,Gravel,Asphalt
440,Linoleum,Gravel,Asphalt
441,Sidewalk,Gravel,Concrete
442,Concrete,Gravel,Asphalt
443,Linoleum,Gravel,Asphalt
444,Concrete,Gravel,Concrete
445,Sidewalk,Gravel,Gravel
446,Linoleum,Gravel,Sidewalk
447,Sidewalk,Gravel,Sidewalk
448,Concrete,Gravel,Sidewalk
449,Concrete,Gravel,Sidewalk
450,Sidewalk,Gravel,Sidewalk
451,Concrete,Gravel,Sidewalk
452,Concrete,Gravel,Sidewalk
453,Concrete,Gravel,Sidewalk
454,Linoleum,Gravel,Sidewalk
455,Linoleum,Gravel,Sidewalk
456,Linoleum,Gravel,Sidewalk
457,Linoleum,Gravel,Sidewalk
458,Linoleum,Gravel,Sidewalk
459,Linoleum,Gravel,Sidewalk
460,Concrete,Gravel,Sidewalk
461,Linoleum,Gravel,Sidewalk
462,Concrete,Gravel,Sidewalk
463,Sidewalk,Gravel,Sidewalk
464,Linoleum,Gravel,Sidewalk
465,Linoleum,Gravel,Concrete
466,Linoleum,Gravel,Carpet
467,Linoleum,Gravel,Linoleum
468,Concrete,Gravel,Asphalt
469,Concrete,Gravel,Concrete
