,True Label,RF Time
0,3,0
1,3,0
2,3,0
3,3,0
4,3,0
5,3,0
6,3,0
7,3,0
8,3,0
9,3,0
10,3,0
11,3,0
12,3,0
13,3,0
14,3,0
15,3,0
16,3,0
17,3,0
18,3,0
19,3,0
20,3,0
21,3,0
22,3,0
23,3,0
24,3,0
25,3,0
26,3,0
27,3,0
28,3,0
29,3,0
30,3,0
31,3,0
32,3,0
33,3,0
34,3,0
35,3,0
36,3,0
37,3,0
38,3,0
39,3,0
40,3,0
41,3,0
42,3,0
43,3,0
44,3,0
45,3,0
46,3,0
47,3,1
48,3,1
49,3,1
50,3,1
51,3,1
52,3,1
53,3,1
54,3,2
55,3,2
56,3,3
57,3,3
58,3,3
59,3,5
60,3,5
61,3,5
62,3,5
63,3,5
64,3,3
65,3,3
66,3,3
67,3,5
68,3,5
69,3,5
70,3,5
71,3,5
72,3,5
73,3,5
74,3,5
75,3,5
76,3,3
77,3,2
78,3,2
79,3,1
80,3,1
81,3,1
82,3,1
83,3,1
84,3,1
85,3,2
86,3,2
87,3,3
88,3,3
89,3,3
90,3,3
91,3,3
92,3,5
93,3,5
94,3,5
95,3,5
96,3,5
97,3,5
98,3,5
99,3,5
100,3,3
101,3,3
102,3,3
103,3,3
104,3,3
105,3,3
106,3,3
107,3,3
108,3,3
109,3,3
110,3,3
111,3,5
112,3,3
113,3,2
114,3,2
115,3,2
116,3,2
117,3,2
118,3,2
119,3,2
120,3,2
121,3,2
122,3,2
123,3,3
124,3,3
125,3,3
126,3,5
127,3,5
128,3,5
129,3,5
130,3,5
131,3,5
132,3,5
133,3,5
134,3,5
135,3,5
136,3,5
137,3,5
138,3,3
139,3,3
140,3,3
141,3,3
142,3,2
143,3,2
144,3,2
145,3,2
146,3,2
147,3,2
148,3,2
149,3,2
150,3,2
151,3,2
152,3,2
153,3,1
154,3,1
155,3,1
156,3,2
157,3,3
158,3,3
159,3,3
160,3,5
161,3,5
162,3,5
163,3,3
164,3,3
165,3,3
166,3,3
167,3,3
168,3,3
169,3,3
170,3,3
171,3,3
172,3,3
173,3,3
174,3,3
175,3,3
176,3,3
177,3,3
178,3,3
179,3,3
180,3,5
181,3,5
182,3,2
183,3,2
184,3,2
185,3,2
186,3,2
187,3,2
188,3,2
189,3,2
190,3,2
191,3,3
192,3,3
193,3,3
194,3,5
195,3,3
196,3,3
197,3,3
198,3,3
199,3,3
200,3,3
201,3,3
202,3,3
203,3,5
204,3,5
205,3,5
206,3,5
207,3,5
208,3,3
209,3,3
210,3,3
211,3,3
212,3,2
213,3,2
214,3,2
215,3,2
216,3,2
217,3,1
218,3,2
219,3,2
220,3,2
221,3,1
222,3,2
223,3,2
224,3,2
225,3,3
226,3,3
227,3,3
228,3,3
229,3,3
230,3,3
231,3,5
232,3,5
233,3,5
234,3,3
235,3,3
236,3,3
237,3,3
238,3,3
239,3,3
240,3,3
241,3,3
242,3,3
243,3,3
244,3,3
245,3,3
246,3,3
247,3,3
248,3,3
249,3,3
250,3,1
251,3,1
252,3,1
253,3,1
254,3,1
255,3,1
256,3,2
257,3,2
258,3,1
259,3,1
260,3,1
261,3,2
262,3,1
263,3,2
264,3,2
265,3,2
266,3,3
267,3,3
268,3,3
269,3,3
270,3,3
271,3,3
272,3,3
273,3,2
274,3,3
275,3,5
276,3,3
277,3,5
278,3,3
279,3,3
280,3,3
281,3,3
282,3,3
283,3,3
284,3,3
285,3,3
286,3,2
287,3,2
288,3,2
289,3,2
290,3,2
291,3,3
292,3,3
293,3,2
294,3,2
295,3,2
296,3,2
297,3,2
298,3,2
299,3,2
300,3,2
301,3,3
302,3,3
303,3,3
304,3,3
305,3,3
306,3,3
307,3,3
308,3,5
309,3,3
310,3,3
311,3,3
312,3,3
313,3,3
314,3,3
315,3,3
316,3,3
317,3,3
318,3,3
319,3,3
320,3,3
321,3,2
322,3,2
323,3,2
324,3,2
325,3,3
326,3,1
327,3,1
328,3,1
329,3,1
330,3,1
331,3,0
332,3,0
333,3,0
334,3,0
335,3,0
336,3,0
337,3,0
338,3,0
339,3,0
340,3,0
341,3,0
342,3,0
343,3,0
344,3,0
345,3,0
346,3,0
347,3,0
348,3,0
349,3,0
350,3,0
351,3,0
352,3,0
353,3,0
354,3,0
355,3,0
356,3,0
357,3,0
358,3,0
359,3,0
360,3,0
361,3,1
