,True Label,RF Time
0,3,0
1,3,0
2,3,0
3,3,0
4,3,0
5,3,0
6,3,0
7,3,0
8,3,0
9,3,0
10,3,0
11,3,0
12,3,0
13,3,0
14,3,0
15,3,0
16,3,0
17,3,0
18,3,0
19,3,0
20,3,0
21,3,0
22,3,0
23,3,0
24,3,0
25,3,0
26,3,0
27,3,0
28,3,0
29,3,0
30,3,0
31,3,0
32,3,1
33,3,1
34,3,1
35,3,1
36,3,1
37,3,1
38,3,1
39,3,3
40,3,3
41,3,3
42,3,4
43,3,5
44,3,5
45,3,5
46,3,5
47,3,3
48,3,5
49,3,5
50,3,5
51,3,3
52,3,3
53,3,3
54,3,3
55,3,3
56,3,3
57,3,3
58,3,3
59,3,3
60,3,2
61,3,2
62,3,2
63,3,2
64,3,2
65,3,2
66,3,2
67,3,2
68,3,2
69,3,2
70,3,2
71,3,2
72,3,5
73,3,5
74,3,5
75,3,3
76,3,3
77,3,3
78,3,3
79,3,3
80,3,5
81,3,5
82,3,5
83,3,5
84,3,5
85,3,5
86,3,5
87,3,5
88,3,3
89,3,3
90,3,3
91,3,3
92,3,3
93,3,2
94,3,2
95,3,3
96,3,2
97,3,2
98,3,2
99,3,2
100,3,2
101,3,5
102,3,3
103,3,5
104,3,5
105,3,5
106,3,5
107,3,5
108,3,5
109,3,5
110,3,5
111,3,5
112,3,5
113,3,5
114,3,5
115,3,5
116,3,5
117,3,3
118,3,3
119,3,3
120,3,3
121,3,3
122,3,3
123,3,3
124,3,2
125,3,2
126,3,2
127,3,2
128,3,2
129,3,2
130,3,2
131,3,2
132,3,2
133,3,5
134,3,5
135,3,5
136,3,5
137,3,5
138,3,5
139,3,5
140,3,3
141,3,5
142,3,5
143,3,5
144,3,5
145,3,5
146,3,5
147,3,5
148,3,5
149,3,5
150,3,3
151,3,2
152,3,2
153,3,2
154,3,2
155,3,2
156,3,1
157,3,2
158,3,2
159,3,2
160,3,2
161,3,3
162,3,3
163,3,3
164,3,3
165,3,3
166,3,5
167,3,5
168,3,5
169,3,5
170,3,5
171,3,4
172,3,5
173,3,5
174,3,5
175,3,4
176,3,5
177,3,5
178,3,3
179,3,3
180,3,2
181,3,2
182,3,3
183,3,2
184,3,2
185,3,2
186,3,3
187,3,2
188,3,3
189,3,2
190,3,3
191,3,3
192,3,5
193,3,5
194,3,5
195,3,5
196,3,5
197,3,5
198,3,5
199,3,5
200,3,5
201,3,5
202,3,5
203,3,5
204,3,5
205,3,5
206,3,3
207,3,3
208,3,3
209,3,3
210,3,3
211,3,3
212,3,2
213,3,2
214,3,1
215,3,2
216,3,2
217,3,2
218,3,4
219,3,5
220,3,5
221,3,5
222,3,5
223,3,5
224,3,4
225,3,5
226,3,5
227,3,5
228,3,5
229,3,5
230,3,4
231,3,5
232,3,5
233,3,5
234,3,5
235,3,3
236,3,3
237,3,2
238,3,2
239,3,2
240,3,2
241,3,2
242,3,2
243,3,2
244,3,2
245,3,2
246,3,3
247,3,3
248,3,3
249,3,2
250,3,2
251,3,2
252,3,2
253,3,2
254,3,5
255,3,5
256,3,5
257,3,5
258,3,5
259,3,5
260,3,5
261,3,5
262,3,5
263,3,5
264,3,5
265,3,5
266,3,5
267,3,5
268,3,5
269,3,3
270,3,3
271,3,3
272,3,1
273,3,1
