,True Label,RF Time
0,3,0
1,3,0
2,3,0
3,3,0
4,3,0
5,3,0
6,3,0
7,3,0
8,3,0
9,3,0
10,3,0
11,3,0
12,3,0
13,3,0
14,3,0
15,3,0
16,3,0
17,3,0
18,3,0
19,3,0
20,3,0
21,3,0
22,3,0
23,3,0
24,3,0
25,3,0
26,3,0
27,3,0
28,3,0
29,3,0
30,3,0
31,3,0
32,3,0
33,3,0
34,3,1
35,3,1
36,3,1
37,3,1
38,3,1
39,3,1
40,3,1
41,3,3
42,3,3
43,3,5
44,3,5
45,3,5
46,3,5
47,3,5
48,3,5
49,3,5
50,3,5
51,3,5
52,3,2
53,3,2
54,3,2
55,3,2
56,3,3
57,3,3
58,3,3
59,3,3
60,3,3
61,3,3
62,3,3
63,3,5
64,3,5
65,3,3
66,3,3
67,3,3
68,3,3
69,3,3
70,3,3
71,3,2
72,3,3
73,3,3
74,3,3
75,3,3
76,3,3
77,3,3
78,3,3
79,3,3
80,3,3
81,3,2
82,3,3
83,3,3
84,3,3
85,3,3
86,3,3
87,3,3
88,3,3
89,3,3
90,3,3
91,3,3
92,3,3
93,3,3
94,3,3
95,3,5
96,3,5
97,3,3
98,3,3
99,3,3
100,3,3
101,3,3
102,3,3
103,3,3
104,3,3
105,3,3
106,3,3
107,3,3
108,3,3
109,3,3
110,3,5
111,3,5
112,3,5
113,3,5
114,3,5
115,3,3
116,3,3
117,3,3
118,3,3
119,3,3
120,3,2
121,3,2
122,3,2
123,3,2
124,3,3
125,3,3
126,3,3
127,3,3
128,3,3
129,3,3
130,3,3
131,3,5
132,3,2
133,3,2
134,3,3
135,3,3
136,3,3
137,3,3
138,3,3
139,3,3
140,3,3
141,3,3
142,3,3
143,3,3
144,3,2
145,3,3
146,3,3
147,3,3
148,3,3
149,3,3
150,3,2
151,3,3
152,3,3
153,3,2
154,3,2
155,3,2
156,3,2
157,3,3
158,3,3
159,3,3
160,3,3
161,3,5
162,3,5
163,3,5
164,3,5
165,3,3
166,3,5
167,3,5
168,3,5
169,3,5
170,3,5
171,3,5
172,3,5
173,3,5
174,3,5
175,3,3
176,3,3
177,3,3
178,3,3
179,3,3
180,3,3
181,3,3
182,3,2
183,3,2
184,3,2
185,3,2
186,3,2
187,3,2
188,3,2
189,3,3
190,3,3
191,3,3
192,3,3
193,3,5
194,3,5
195,3,5
196,3,5
197,3,5
198,3,5
199,3,5
200,3,5
201,3,5
202,3,5
203,3,5
204,3,5
205,3,5
206,3,5
207,3,3
208,3,3
209,3,3
210,3,3
211,3,3
212,3,3
213,3,3
214,3,3
215,3,2
216,3,2
217,3,2
218,3,2
219,3,3
220,3,3
221,3,3
222,3,3
223,3,3
224,3,3
225,3,3
226,3,3
227,3,3
228,3,3
229,3,3
230,3,3
231,3,2
232,3,5
233,3,5
234,3,5
235,3,5
236,3,5
237,3,5
238,3,5
239,3,5
240,3,3
241,3,3
242,3,3
243,3,3
244,3,2
245,3,3
246,3,3
247,3,2
248,3,2
249,3,2
250,3,2
251,3,2
252,3,3
253,3,3
254,3,3
255,3,3
256,3,3
257,3,3
258,3,3
259,3,3
260,3,3
261,3,5
262,3,5
263,3,5
264,3,3
265,3,4
266,3,4
267,3,4
268,3,3
269,3,5
270,3,3
271,3,5
272,3,5
273,3,5
274,3,3
275,3,3
276,3,3
277,3,3
278,3,3
279,3,3
280,3,3
281,3,3
282,3,2
283,3,2
284,3,2
285,3,2
286,3,2
287,3,3
288,3,3
289,3,3
290,3,3
291,3,3
292,3,3
293,3,3
294,3,3
295,3,3
296,3,3
297,3,3
298,3,3
299,3,3
300,3,3
301,3,3
302,3,3
303,3,3
304,3,3
305,3,3
306,3,5
307,3,5
308,3,5
309,3,5
310,3,3
311,3,3
312,3,3
313,3,3
314,3,3
315,3,3
316,3,3
317,3,2
318,3,2
319,3,2
320,3,2
321,3,3
322,3,3
323,3,3
324,3,3
325,3,3
326,3,3
327,3,3
328,3,3
329,3,3
330,3,3
331,3,3
332,3,2
333,3,2
334,3,2
335,3,3
336,3,3
337,3,3
338,3,3
339,3,3
340,3,3
341,3,3
342,3,3
343,3,3
344,3,3
345,3,3
346,3,3
347,3,3
348,3,3
349,3,3
350,3,3
351,3,2
352,3,2
353,3,2
354,3,3
355,3,3
356,3,3
357,3,3
358,3,3
359,3,5
360,3,3
361,3,3
362,3,3
363,3,5
364,3,3
365,3,3
366,3,3
367,3,4
368,3,4
369,3,5
370,3,5
371,3,5
372,3,5
373,3,5
374,3,5
375,3,5
376,3,5
377,3,3
378,3,3
379,3,3
380,3,3
381,3,2
382,3,2
383,3,2
384,3,2
385,3,2
386,3,2
387,3,2
388,3,3
389,3,3
390,3,3
391,3,3
392,3,3
393,3,3
394,3,5
395,3,5
396,3,5
397,3,3
398,3,5
399,3,5
400,3,3
401,3,3
402,3,3
403,3,2
404,3,3
405,3,3
406,3,3
407,3,3
408,3,5
409,3,5
410,3,5
411,3,3
412,3,3
413,3,3
414,3,3
415,3,3
416,3,3
417,3,3
418,3,3
419,3,3
420,3,2
421,3,2
422,3,2
423,3,2
424,3,3
425,3,3
426,3,5
427,3,5
428,3,5
429,3,5
430,3,5
431,3,5
432,3,5
433,3,5
434,3,5
435,3,3
436,3,3
437,3,5
438,3,3
439,3,3
440,3,3
441,3,3
442,3,5
443,3,5
444,3,5
445,3,3
446,3,3
447,3,3
448,3,3
449,3,3
450,3,3
451,3,3
452,3,4
453,3,1
454,3,1
455,3,1
456,3,1
457,3,3
458,3,3
459,3,3
460,3,3
461,3,3
462,3,3
463,3,3
464,3,3
465,3,5
466,3,5
467,3,5
468,3,5
469,3,5
470,3,5
471,3,3
472,3,3
473,3,3
474,3,3
475,3,3
476,3,3
477,3,3
478,3,3
479,3,3
480,3,3
481,3,3
482,3,3
483,3,3
484,3,2
485,3,2
486,3,2
487,3,2
488,3,2
489,3,2
490,3,2
491,3,3
492,3,3
493,3,3
494,3,3
495,3,3
496,3,3
497,3,3
498,3,3
499,3,3
500,3,3
501,3,3
502,3,3
503,3,2
504,3,3
505,3,3
506,3,3
507,3,3
508,3,3
509,3,3
510,3,3
511,3,3
512,3,3
513,3,3
514,3,3
515,3,3
516,3,3
517,3,3
518,3,3
519,3,3
520,3,3
521,3,3
522,3,3
523,3,3
524,3,3
525,3,3
526,3,3
527,3,3
528,3,3
529,3,3
530,3,3
531,3,3
532,3,3
533,3,3
534,3,3
535,3,3
536,3,3
537,3,3
538,3,3
539,3,3
540,3,3
541,3,3
542,3,3
543,3,3
544,3,3
545,3,3
546,3,3
547,3,3
548,3,3
549,3,3
550,3,3
551,3,3
